Slope,rep,Topo,Aspect,current.year,start.year,sowing.year,cage,lifted,caged,severity,bank,germination,earlydeath,reproductive,percent,previous,totalseedpods,avgseedpods,proportionseeded,sdays,daysseeding,finalseedbank,nativebiomass,nonnativebiomass,nativecover,nonnativecover,avg_nonnative_height,avg_native_height,ercacover,ph,som,ec,nitrogen,carbon,bulkdensity,march.soil.percent.water.content,jan.avg.vwc,decrain,janrain,febrain,marchrain,aprilrain,mayrain,totalrain,decsolar,avgdecsolar,jansolar,avgjansolar,febsolar,avgfebsolar,marchsolar,avgmarchsolar,aprilsolar,avgaprilsolar,maysolar,avgmaysolar,totalsolar
gentle,4,South Gentle,south,6,2,2015,big,no,Caged,,26,0,0,0,0.00%,no,,,,,,26,18,6,NA,NA,NA,NA,,5.88,2.295,19.75,0.07919535,1.0552516,,,0,53.048,4.569,0.762,33.5603,7.108,17.01,116.0573,2856,92.1290323,3924,126.580645,4877,168.172414,5582,180.064516,7800,260,9669,315.8,34708
swale,2,No.aspect Swale,no.aspect,6,1,2014,small,no,Caged,,42,0,0,0,0.00%,yes,,,,,,42,,,140,0,0,35.32142857,0,6.075,1.9,39.9,0.06904331,0.8546079,1.24,1.4,5.3,53.048,4.569,0.762,33.5603,7.108,17.01,116.0573,2856,92.12903226,3924,126.5806452,4877,168.1724138,5582,180.0645161,7800,260,9669,315.8,34708
swale,1,No.aspect Swale,no.aspect,6,1,2014,big,no,Caged,,32,0,0,0,0.00%,no,,,,,,32,,,129,0,0,11.82170543,0,5.015,2.892,46.25,0,0.9144148,1.06,1.69,2.6,53.048,4.569,0.762,33.5603,7.108,17.01,116.0573,2856,92.12903226,3924,126.5806452,4877,168.1724138,5582,180.0645161,7800,260,9669,315.8,34708
ridge,3,No.aspect Ridge,no.aspect,6,1,2014,small,no,Caged,,38,0,0,0,0.00%,no,,,,,,38,,,125,0,0,54.248,0,6.46,4.325,26.65,0.056994475,0.7098949,1.06,1.32,1.6,53.048,4.569,0.762,33.5603,7.108,17.01,116.0573,2856,92.12903226,3924,126.5806452,4877,168.1724138,5582,180.0645161,7800,260,9669,315.8,34708
swale,3,No.aspect Swale,no.aspect,6,1,2014,big,no,Caged,,478,4,4,0,0.84%,yes,,,0,,,474,,,120,15,15,19.5,0,5.855,1.3555,23.5,0.01921891,0.5112983,1.15,1.34,5.5,53.048,4.569,0.762,33.5603,7.108,17.01,116.0573,2856,92.12903226,3924,126.5806452,4877,168.1724138,5582,180.0645161,7800,260,9669,315.8,34708
swale,1,No.aspect Swale,no.aspect,6,1,2014,none,no,No Cage,,39,0,0,0,0.00%,no,,,,,,39,,,105,2,NA,29.76190476,0,6.29,2.4342,23.75,0.02079592,1.0641207,1.06,1.69,5.7,53.048,4.569,0.762,33.5603,7.108,17.01,116.0573,2856,92.12903226,3924,126.5806452,4877,168.1724138,5582,180.0645161,7800,260,9669,315.8,34708
steep,2,North Steep,north,6,2,2015,big,no,Caged,,396,0,0,0,0.00%,yes,,,,,,396,,,101,21,20.71428571,5,15,5.385,7.11,37.85,0,0.7806928,1.15,1.19,5.7,53.048,4.569,0.762,33.5603,7.108,17.01,116.0573,2856,92.12903226,3924,126.5806452,4877,168.1724138,5582,180.0645161,7800,260,9669,315.8,34708
steep,3,North Steep,north,6,2,2015,big,no,Caged,,202,0,0,0,0.00%,yes,,,,,,202,,,101,7,23.57142857,85.69306931,5,5.57,6.995,38.7,0.06428302,0.8171943,1.11,0.75,2.4,53.048,4.569,0.762,33.5603,7.108,17.01,116.0573,2856,92.12903226,3924,126.5806452,4877,168.1724138,5582,180.0645161,7800,260,9669,315.8,34708
swale,3,No.aspect Swale,no.aspect,6,1,2014,small,no,Caged,,668,12,12,0,1.80%,yes,,,0,,,656,,,100,45,11.25,17.88235294,0,6.3,3.81,14,0.058379525,0.5739372,1.15,1.34,4,53.048,4.569,0.762,33.5603,7.108,17.01,116.0573,2856,92.12903226,3924,126.5806452,4877,168.1724138,5582,180.0645161,7800,260,9669,315.8,34708
steep,1,South Steep,south,6,1,2014,big,no,Caged,,36,0,0,0,0.00%,yes,,,,,,36,,,100,50,10,46,0,6.61,1.9245,6.35,0.025188235,0.12230563,1.27,1.07,5.3,53.048,4.569,0.762,33.5603,7.108,17.01,116.0573,2856,92.12903226,3924,126.5806452,4877,168.1724138,5582,180.0645161,7800,260,9669,315.8,34708
swale,5,No.aspect Swale,no.aspect,6,2,2015,small,no,Caged,,2674,49,32,18,1.83%,yes,412,22.88888889,36.73469388,131.2941176,13.64705882,3655,,,99,10,10,31.66666667,0,6.775,2.575,20.75,0.052427105,0.468903,,,6.7,53.048,4.569,0.762,33.5603,7.108,17.01,116.0573,2856,92.12903226,3924,126.5806452,4877,168.1724138,5582,180.0645161,7800,260,9669,315.8,34708
swale,1,No.aspect Swale,no.aspect,6,1,2014,small,no,Caged,,35,0,0,0,0.00%,no,,,,,,35,,,98,15,15,14.18367347,0,5.72,4.50555,33.45,0.07135144,2.644816,1.06,1.69,1.8,53.048,4.569,0.762,33.5603,7.108,17.01,116.0573,2856,92.12903226,3924,126.5806452,4877,168.1724138,5582,180.0645161,7800,260,9669,315.8,34708
swale,2,No.aspect Swale,no.aspect,6,1,2014,big,no,Caged,,33,0,0,0,0.00%,no,,,,,,33,,,95,5,10,50,0,6.465,1.915,23.7,0.04445328,0.3876331,1.24,1.4,5.6,53.048,4.569,0.762,33.5603,7.108,17.01,116.0573,2856,92.12903226,3924,126.5806452,4877,168.1724138,5582,180.0645161,7800,260,9669,315.8,34708
swale,6,No.aspect Swale,no.aspect,6,2,2015,small,no,Caged,,35,0,0,0,0.00%,no,,,,,,35,,,88,0,0,24.65909091,0,7.415,1.85,32.8,0.063681345,0.4955881,,,6.2,53.048,4.569,0.762,33.5603,7.108,17.01,116.0573,2856,92.12903226,3924,126.5806452,4877,168.1724138,5582,180.0645161,7800,260,9669,315.8,34708
swale,6,No.aspect Swale,no.aspect,6,2,2015,big,no,Caged,,35,0,0,0,0.00%,no,,,,,,35,,,87,6,15,39.54022989,0,5.375,1.8165,46.95,0,0.6073881,,,5.4,53.048,4.569,0.762,33.5603,7.108,17.01,116.0573,2856,92.12903226,3924,126.5806452,4877,168.1724138,5582,180.0645161,7800,260,9669,315.8,34708
swale,4,No.aspect Swale,no.aspect,6,2,2015,small,no,Caged,,175,4,3,1,2.29%,yes,46,46,25,111,24,286,,,85,80,13,30,0,6.69,2.915,35.1,0.061559985,0.54151915,,,4.5,53.048,4.569,0.762,33.5603,7.108,17.01,116.0573,2856,92.12903226,3924,126.5806452,4877,168.1724138,5582,180.0645161,7800,260,9669,315.8,34708
swale,3,No.aspect Swale,no.aspect,6,1,2014,none,no,No Cage,,38,0,0,0,0.00%,no,,,,,,38,,,85,5,5,13.41176471,0,7.52,1.7475,38.85,0.02187346,0.6397984,1.15,1.34,3.6,53.048,4.569,0.762,33.5603,7.108,17.01,116.0573,2856,92.12903226,3924,126.5806452,4877,168.1724138,5582,180.0645161,7800,260,9669,315.8,34708
ridge,1,No.aspect Ridge,no.aspect,6,1,2014,none,no,No Cage,,123,1,1,0,0.81%,yes,,,0,,,122,,,85,0,0,43.24705882,0,5.6,3.26,17,0.077025355,0.778946,1.03,2.26,2,53.048,4.569,0.762,33.5603,7.108,17.01,116.0573,2856,92.12903226,3924,126.5806452,4877,168.1724138,5582,180.0645161,7800,260,9669,315.8,34708
swale,3,No.aspect Swale,no.aspect,6,6,2019,small,no,Caged,,50,6,6,0,12.00%,no,,,,,,44,,,85,0,0,37.97647059,0,,,,,,,,,53.048,4.569,0.762,33.5603,7.108,17.01,116.0573,2856,92.12903226,3924,126.5806452,4877,168.1724138,5582,180.0645161,7800,260,9669,315.8,34708
