Slope,rep,Topo,Aspect,current.year,start.year,sowing.year,cage,lifted,caged,severity,bank,germination,earlydeath,reproductive,percent,previous,totalseedpods,avgseedpods,proportionseeded,sdays,daysseeding,finalseedbank,nativebiomass,nonnativebiomass,nativecover,nonnativecover,avg_nonnative_height,avg_native_height,ercacover,ph,som,ec,nitrogen,carbon,bulkdensity,march.soil.percent.water.content,jan.avg.vwc,decrain,janrain,febrain,marchrain,aprilrain,mayrain,totalrain,decsolar,avgdecsolar,jansolar,avgjansolar,febsolar,avgfebsolar,marchsolar,avgmarchsolar,aprilsolar,avgaprilsolar,maysolar,avgmaysolar,totalsolar
steep,4,South Steep,south,6,6,2019,small,yes,Caged,,50,0,0,0,0.00%,no,,,,,,50,8,0,7,0,0,3.428571429,0,,,,,,,,,53.048,4.569,0.762,33.5603,7.108,17.01,116.0573,2856,92.1290323,3924,126.580645,4877,168.172414,5582,180.064516,7800,260,9669,315.8,34708
steep,3,North Steep,north,6,6,2019,small,yes,Caged,,50,0,0,0,0.00%,no,,,,,,50,9,2,13,11,2.272727273,13.38461538,0,,,,,,,,,53.048,4.569,0.762,33.5603,7.108,17.01,116.0573,2856,92.1290323,3924,126.580645,4877,168.172414,5582,180.064516,7800,260,9669,315.8,34708
gentle,4,South Gentle,south,6,2,2015,big,no,Caged,,26,0,0,0,0.00%,no,,,,,,26,18,6,NA,NA,NA,NA,,5.88,2.295,19.75,0.07919535,1.0552516,,,0,53.048,4.569,0.762,33.5603,7.108,17.01,116.0573,2856,92.1290323,3924,126.580645,4877,168.172414,5582,180.064516,7800,260,9669,315.8,34708
swale,4,No.aspect Swale,no.aspect,6,6,2019,small,yes,Caged,,50,0,0,0,0.00%,no,,,,,,50,20,1,10,0,0,27,0,,,,,,,,,53.048,4.569,0.762,33.5603,7.108,17.01,116.0573,2856,92.1290323,3924,126.580645,4877,168.172414,5582,180.064516,7800,260,9669,315.8,34708
steep,4,South Steep,south,6,6,2019,small,no,Caged,,50,0,0,0,0.00%,no,,,,,,50,23,1,4,0,0,6,0,,,,,,,,,53.048,4.569,0.762,33.5603,7.108,17.01,116.0573,2856,92.1290323,3924,126.580645,4877,168.172414,5582,180.064516,7800,260,9669,315.8,34708
swale,4,No.aspect Swale,no.aspect,6,2,2015,big,no,Caged,,84,0,0,0,0.00%,yes,,,,,,84,27,46,48,80,24.375,10.83333333,0,6.38,2.07,28.1,0.05531484,0.5421546,,,3.6,53.048,4.569,0.762,33.5603,7.108,17.01,116.0573,2856,92.1290323,3924,126.580645,4877,168.172414,5582,180.064516,7800,260,9669,315.8,34708
steep,2,South Steep,south,6,6,2019,small,yes,Caged,,50,0,0,0,0.00%,no,,,,,,50,27,6,23,5,15,14.30434783,3,,,,,,,,,53.048,4.569,0.762,33.5603,7.108,17.01,116.0573,2856,92.1290323,3924,126.580645,4877,168.172414,5582,180.064516,7800,260,9669,315.8,34708
steep,2,South Steep,south,6,6,2019,small,no,Caged,,50,0,0,0,0.00%,no,,,,,,50,28,2,22,1,3,14.45454545,0,,,,,,,,,53.048,4.569,0.762,33.5603,7.108,17.01,116.0573,2856,92.1290323,3924,126.580645,4877,168.172414,5582,180.064516,7800,260,9669,315.8,34708
steep,5,South Steep,south,6,2,2015,big,no,Caged,,693,2,2,0,0.29%,yes,,,0,,,691,31,81,35,27,12.22222222,18.02857143,1,6.45,2.84,34.05,0.05428337,0.62390005,,,2,53.048,4.569,0.762,33.5603,7.108,17.01,116.0573,2856,92.1290323,3924,126.580645,4877,168.172414,5582,180.064516,7800,260,9669,315.8,34708
steep,2,North Steep,north,6,6,2019,small,no,Caged,,50,1,1,0,2.00%,no,,,,,,49,36,120,26,47,50,48.61538462,0,,,,,,,,,53.048,4.569,0.762,33.5603,7.108,17.01,116.0573,2856,92.1290323,3924,126.580645,4877,168.172414,5582,180.064516,7800,260,9669,315.8,34708
steep,2,North Steep,north,6,6,2019,small,yes,Caged,,50,0,0,0,0.00%,no,,,,,,50,39,7,47,21,47.38095238,27.12765957,0,,,,,,,,,53.048,4.569,0.762,33.5603,7.108,17.01,116.0573,2856,92.1290323,3924,126.580645,4877,168.172414,5582,180.064516,7800,260,9669,315.8,34708
steep,1,North Steep,north,6,2,2015,big,no,Caged,,580,0,0,0,0.00%,yes,,,,,,580,48,40,58,15,20,15.34482759,10,6.145,5.545,21.75,0.04462578,0.7734109,1.19,1.27,2.4,53.048,4.569,0.762,33.5603,7.108,17.01,116.0573,2856,92.1290323,3924,126.580645,4877,168.172414,5582,180.064516,7800,260,9669,315.8,34708
swale,2,No.aspect Swale,no.aspect,6,6,2019,small,yes,Caged,,50,0,0,0,0.00%,no,,,,,,50,52,0,26,3,8.333333333,2.038461538,0,,,,,,,,,53.048,4.569,0.762,33.5603,7.108,17.01,116.0573,2856,92.1290323,3924,126.580645,4877,168.172414,5582,180.064516,7800,260,9669,315.8,34708
steep,3,North Steep,north,6,6,2019,small,no,Caged,,50,0,0,0,0.00%,no,,,,,,50,120,59,84,41,21.58536585,36.53571429,0,,,,,,,,,53.048,4.569,0.762,33.5603,7.108,17.01,116.0573,2856,92.1290323,3924,126.580645,4877,168.172414,5582,180.064516,7800,260,9669,315.8,34708
swale,4,No.aspect Swale,no.aspect,6,6,2019,small,no,Caged,,50,4,4,0,8.00%,no,,,,,,46,141,1,80,2,12.5,31.1375,0,,,,,,,,,53.048,4.569,0.762,33.5603,7.108,17.01,116.0573,2856,92.1290323,3924,126.580645,4877,168.172414,5582,180.064516,7800,260,9669,315.8,34708
ridge,3,No.aspect Ridge,no.aspect,6,1,2014,big,no,Caged,,37,0,0,0,0.00%,no,,,,,,37,177,4,75,15,13.33333333,27.26666667,0,6.24,3.43,40.15,0,0.7859843,1.06,1.32,5.8,53.048,4.569,0.762,33.5603,7.108,17.01,116.0573,2856,92.1290323,3924,126.580645,4877,168.172414,5582,180.064516,7800,260,9669,315.8,34708
