location,plot,cage,species,percent_cover,height_cm
south,1,grounded,Abronia umbellata,,
south,1,grounded,Achillea millefolium,,
south,1,grounded,Acmispon glaber,,
south,1,grounded,Ambrosia psilostachya,,
south,1,grounded,Amsinkia spectabilis,,
south,1,grounded,Brassica tournefortii,,
south,1,grounded,Bromus diandrus,,
south,1,grounded,Bromus hordeaceus,,
south,1,grounded,Bromus madritensis,,
south,1,grounded,Camissonia campestris,,
south,1,grounded,Camissoniopsis micrantha,,
south,1,grounded,Cardionema ramosissimum,,
south,1,grounded,Castilleja affinis,,
south,1,grounded,Chenipodium californicum,,
south,1,grounded,Chorizanthe angustifolia,,
south,1,grounded,Cirsium occidentale,,
south,1,grounded,Claytonia perifolata,,
south,1,grounded,Conicosia pugioniformis,1,5
south,1,grounded,Corethrogyne filaginifolia,,
south,1,grounded,Crassula connata,,
south,1,grounded,Croton californicus,5,10
south,1,grounded,Cryptantha clevelandii,8,20
south,1,grounded,Cuscuta sp.,,
south,1,grounded,Descurainia pinnata,1,15
south,1,grounded,Dudleya lanceolata,,
south,1,grounded,Erharta calycina,1,15
south,1,grounded,Ericameria ericoides,,
south,1,grounded,Eriogonum fasciculatum,,
south,1,grounded,Eriogonum parvifolium,,
south,1,grounded,Erodium botrys,,
south,1,grounded,Erodium circutarium,,
south,1,grounded,Erysimum insulare,,
south,1,grounded,Festuca bromoides,,
south,1,grounded,Festuca muyros,,
south,1,grounded,Festuca perennis,,
south,1,grounded,Frangula californica,,
south,1,grounded,Hesperocnide tenella,,
south,1,grounded,Hordeum murinum,,
south,1,grounded,Horkelia cuneata ,,
south,1,grounded,Hypochaeris glabra,,
south,1,grounded,Lamarkia aurea,1,10
south,1,grounded,Linanthus californicus,,
south,1,grounded,Lotus strigosus,,
south,1,grounded,Lupinus chamissonis,,
south,1,grounded,Lupinus nipomensis,,
south,1,grounded,Monardella ,,
south,1,grounded,Mucronea californica,20,20
south,1,grounded,Nuttallanthus texanus,,
south,1,grounded,Phacelia douglasii,,
south,1,grounded,Phacillia ramomissomum,,
south,1,grounded,Pholisma arenarium,,
south,1,grounded,Plagiobothrys nothofolvus,,
south,1,grounded,Plantago erecta,,
south,1,grounded,Plantago lanceolota,,
south,1,grounded,Polycarpon tetraphyllum,,
south,1,grounded,Pseudognaphalium bioletti,,
south,1,grounded,Pseudognaphalium californicum,,
south,1,grounded,Pseudognaphalium luteoalbum,,
south,1,grounded,Rafinesquia californica,,
south,1,grounded,Schismus arabicus,,
south,1,grounded,Sencio californicus,,
south,1,grounded,Toxicodendron diversilobum,,
south,1,lifted,Abronia umbellata,,
south,1,lifted,Achillea millefolium,5,15
south,1,lifted,Acmispon glaber,,
south,1,lifted,Ambrosia psilostachya,,
south,1,lifted,Amsinkia spectabilis,,
south,1,lifted,Brassica tournefortii,,
south,1,lifted,Bromus diandrus,,
south,1,lifted,Bromus hordeaceus,,
south,1,lifted,Bromus madritensis,,
south,1,lifted,Camissonia campestris,,
south,1,lifted,Camissoniopsis micrantha,,
south,1,lifted,Cardionema ramosissimum,,
south,1,lifted,Castilleja affinis,,
south,1,lifted,Chenipodium californicum,,
south,1,lifted,Chorizanthe angustifolia,,
south,1,lifted,Cirsium occidentale,,
south,1,lifted,Claytonia perifolata,,
south,1,lifted,Conicosia pugioniformis,,
south,1,lifted,Corethrogyne filaginifolia,,
south,1,lifted,Crassula connata,,
south,1,lifted,Croton californicus,20,15
south,1,lifted,Cryptantha clevelandii,1,20
south,1,lifted,Cuscuta sp.,,
south,1,lifted,Descurainia pinnata,,
south,1,lifted,Dudleya lanceolata,,
south,1,lifted,Erharta calycina,1,15
south,1,lifted,Ericameria ericoides,,
south,1,lifted,Eriogonum fasciculatum,,
south,1,lifted,Eriogonum parvifolium,1,15
south,1,lifted,Erodium botrys,,
south,1,lifted,Erodium circutarium,,
south,1,lifted,Erysimum insulare,,
south,1,lifted,Festuca bromoides,,
south,1,lifted,Festuca muyros,,
south,1,lifted,Festuca perennis,,
south,1,lifted,Frangula californica,,
south,1,lifted,Hesperocnide tenella,,
south,1,lifted,Hordeum murinum,,
south,1,lifted,Horkelia cuneata ,,
south,1,lifted,Hypochaeris glabra,,
south,1,lifted,Lamarkia aurea,,
south,1,lifted,Linanthus californicus,,
south,1,lifted,Lotus strigosus,,
south,1,lifted,Lupinus chamissonis,,
south,1,lifted,Lupinus nipomensis,,
south,1,lifted,Monardella ,,
south,1,lifted,Mucronea californica,1,5
south,1,lifted,Nuttallanthus texanus,,
south,1,lifted,Phacelia douglasii,,
south,1,lifted,Phacillia ramomissomum,,
south,1,lifted,Pholisma arenarium,,
south,1,lifted,Plagiobothrys nothofolvus,,
south,1,lifted,Plantago erecta,,
south,1,lifted,Plantago lanceolota,,
south,1,lifted,Polycarpon tetraphyllum,2,1
south,1,lifted,Pseudognaphalium bioletti,,
south,1,lifted,Pseudognaphalium californicum,,
south,1,lifted,Pseudognaphalium luteoalbum,,
south,1,lifted,Rafinesquia californica,,
south,1,lifted,Schismus arabicus,,
south,1,lifted,Sencio californicus,,
south,1,lifted,Toxicodendron diversilobum,,
south,2,grounded,Abronia umbellata,,
south,2,grounded,Achillea millefolium,,
south,2,grounded,Acmispon glaber,,
south,2,grounded,Ambrosia psilostachya,,
south,2,grounded,Amsinkia spectabilis,3,40
south,2,grounded,Brassica tournefortii,,
south,2,grounded,Bromus diandrus,,
south,2,grounded,Bromus hordeaceus,,
south,2,grounded,Bromus madritensis,,
south,2,grounded,Camissonia campestris,,
south,2,grounded,Camissoniopsis micrantha,,
south,2,grounded,Cardionema ramosissimum,,
south,2,grounded,Castilleja affinis,,
south,2,grounded,Chenipodium californicum,,
south,2,grounded,Chorizanthe angustifolia,8,1
south,2,grounded,Cirsium occidentale,,
south,2,grounded,Claytonia perifolata,,
south,2,grounded,Conicosia pugioniformis,,
south,2,grounded,Corethrogyne filaginifolia,,
south,2,grounded,Crassula connata,,
south,2,grounded,Croton californicus,,
south,2,grounded,Cryptantha clevelandii,8,20
south,2,grounded,Cuscuta sp.,,
south,2,grounded,Descurainia pinnata,,
south,2,grounded,Dudleya lanceolata,,
south,2,grounded,Erharta calycina,,
south,2,grounded,Ericameria ericoides,,
south,2,grounded,Eriogonum fasciculatum,,
south,2,grounded,Eriogonum parvifolium,,
south,2,grounded,Erodium botrys,,
south,2,grounded,Erodium circutarium,,
south,2,grounded,Erysimum insulare,,
south,2,grounded,Festuca bromoides,,
south,2,grounded,Festuca muyros,1,3
south,2,grounded,Festuca perennis,,
south,2,grounded,Frangula californica,,
south,2,grounded,Hesperocnide tenella,,
south,2,grounded,Hordeum murinum,,
south,2,grounded,Horkelia cuneata ,,
south,2,grounded,Hypochaeris glabra,,
south,2,grounded,Lamarkia aurea,,
south,2,grounded,Linanthus californicus,,
south,2,grounded,Lotus strigosus,,
south,2,grounded,Lupinus chamissonis,,
south,2,grounded,Lupinus nipomensis,,
south,2,grounded,Monardella ,,
south,2,grounded,Mucronea californica,3,10
south,2,grounded,Nuttallanthus texanus,,
south,2,grounded,Phacelia douglasii,,
south,2,grounded,Phacillia ramomissomum,,
south,2,grounded,Pholisma arenarium,,
south,2,grounded,Plagiobothrys nothofolvus,,
south,2,grounded,Plantago erecta,,
south,2,grounded,Plantago lanceolota,,
south,2,grounded,Polycarpon tetraphyllum,,
south,2,grounded,Pseudognaphalium bioletti,,
south,2,grounded,Pseudognaphalium californicum,,
south,2,grounded,Pseudognaphalium luteoalbum,,
south,2,grounded,Rafinesquia californica,,
south,2,grounded,Schismus arabicus,,
south,2,grounded,Sencio californicus,,
south,2,grounded,Toxicodendron diversilobum,,
south,2,lifted,Abronia umbellata,,
south,2,lifted,Achillea millefolium,5,20
south,2,lifted,Acmispon glaber,,
south,2,lifted,Ambrosia psilostachya,,
south,2,lifted,Amsinkia spectabilis,,
south,2,lifted,Brassica tournefortii,,
south,2,lifted,Bromus diandrus,,
south,2,lifted,Bromus hordeaceus,,
south,2,lifted,Bromus madritensis,,
south,2,lifted,Camissonia campestris,1,2
south,2,lifted,Camissoniopsis micrantha,1,2
south,2,lifted,Cardionema ramosissimum,,
south,2,lifted,Castilleja affinis,,
south,2,lifted,Chenipodium californicum,,
south,2,lifted,Chorizanthe angustifolia,,
south,2,lifted,Cirsium occidentale,,
south,2,lifted,Claytonia perifolata,,
